分類,產品名稱,台灣市佔率,年費價格（台幣/端點）,政府/大型企業採購單位範例,中小型企業採購適用性,共同供應契約價格（參考）
EDR,CrowdStrike Falcon,18%（全球）,"NT$2,500-3,500",金融業、高科技製造、關鍵基礎設施、公務機關（POC測試）,中高,"$2,740/U"
EDR,Palo Alto Cortex XDR,7-10%,"NT$2,500-3,800（約$81 USD）",國防、高科技研發、企業雲端部署,低（專案制）,需專案報價
EDR,Trend Micro Apex One,~20%,"NT$1,300-2,200",政府機關、警政署、刑事局、交通部、醫療、學校,高,"$1,051-3,165/U（1-3年）"
EDR,SentinelOne,8-12%,"NT$2,000-2,800",金融業、科技業、中型企業、傲索科技（代理商MDR整合）,中,"$40,415/20U"
EDR,WithSecure Elements EDR,3-6%,"NT$1,000-1,400",科技公司、IT專案公司,高,詢價制
EDR,Symantec Endpoint Protection,5-7%,"NT$1,200-1,800",航運、大型傳統製造、部分公務機關,中,"$1,386-1,630/U"
EDR,鼎新 EDR,地區型,"NT$1,500-2,000",台灣中小製造業、零售、政府外包案,高,透過SentinelOne
EDR,Microsoft Defender for Endpoint,25.8%（全球）,"NT$1,000-2,500",政府、中大型企業、跨國金融/製造,中,包含於M365 E5
MDR,鼎新 Ai智管家 MDR,N/A,"NT$3,000-4,000",製造業、零售、金融（需EDR搭配）,中（需搭配EDR）,包含於鼎新方案
MDR,中華資安國際 MDR,N/A,"NT$2,500-3,800",公務機關、關鍵基礎設施、數位發展部合作,中（需搭配EDR）,N/A
MDR,WiZON MDR,N/A,"NT$2,000-3,200",中小型企業、科技業,高,N/A
MDR,GWS MDR,N/A,"NT$2,500起",中小型企業,高,N/A
MDR,數聯資安 MDR,N/A,"NT$2,500起（年費30萬方案）",公務機關、華銀、關鍵基礎設施、中華軟協推薦,高,年費30萬（特價期）
防毒軟體,Trend Micro PC-cillin,20%以上,"NT$500-1,000",一般企業、中小企業、個人用戶,極高,$490-700/U
防毒軟體,Kaspersky,12%,"NT$700-1,100",一般中小企業、個人用戶,極高,"$2,212-2,840/U"
防毒軟體,Symantec/Norton,10%以上,"NT$850-1,400",金融、製造、運輸,高,"$1,386-1,630/U"
防毒軟體,WithSecure,5-8%,"NT$650-1,200",SOHO、中型企業,高,詢價制
防毒軟體,ESET/Bitdefender,5-10%,"NT$700-1,200",SOHO、中型企業,高,N/A
